Date,Price,Open,High,Low,Vol.,Change %
14/01/2021,7.7536,7.7537,7.7544,7.7527,6.50K,0.01%
13/01/2021,7.7532,7.7547,7.7551,7.7531,6.45K,-0.02%
12/1/2021,7.7548,7.7555,7.7558,7.754,6.99K,0.00%
11/1/2021,7.7551,7.7565,7.7567,7.7534,7.15K,-0.02%
8/1/2021,7.7563,7.7537,7.7575,7.7524,7.42K,0.04%
7/1/2021,7.7533,7.7532,7.754,7.7522,6.77K,0.00%
6/1/2021,7.753,7.7533,7.7536,7.7526,5.95K,0.00%
5/1/2021,7.7531,7.7536,7.7538,7.7524,6.22K,0.00%
4/1/2021,7.7533,7.7536,7.7541,7.7519,6.36K,0.01%
1/1/2021,7.7524,7.7526,7.7536,7.7525,1.95K,0.00%
31/12/2020,7.7523,7.7526,7.7541,7.751,7.95K,0.00%
30/12/2020,7.7522,7.754,7.7544,7.7519,7.66K,-0.02%
29/12/2020,7.7538,7.7558,7.7561,7.7524,7.34K,-0.03%
28/12/2020,7.7559,7.7534,7.7561,7.7519,7.50K,0.04%
25/12/2020,7.7527,7.7536,7.7544,7.7527,3.01K,-0.01%
24/12/2020,7.7535,7.7531,7.7543,7.7519,7.41K,0.01%
23/12/2020,7.7529,7.7527,7.7535,7.7521,7.64K,0.00%
22/12/2020,7.7526,7.7533,7.7536,7.7523,7.44K,-0.01%
21/12/2020,7.753,7.7522,7.7541,7.7521,7.22K,0.02%
18/12/2020,7.7518,7.7523,7.7538,7.7519,7.20K,0.00%
17/12/2020,7.752,7.7524,7.7531,7.7519,7.16K,0.00%
16/12/2020,7.752,7.7516,7.753,7.7512,7.12K,0.01%
15/12/2020,7.7515,7.7519,7.7527,7.7512,7.86K,0.00%
14/12/2020,7.7518,7.7515,7.7526,7.7507,6.69K,0.01%
11/12/2020,7.7512,7.7512,7.752,7.7506,7.15K,0.00%
10/12/2020,7.7511,7.7516,7.7524,7.7506,8.56K,-0.01%
9/12/2020,7.7515,7.751,7.7526,7.7509,7.87K,0.01%
8/12/2020,7.7511,7.751,7.7516,7.7506,7.47K,0.00%
7/12/2020,7.7509,7.7509,7.7515,7.7503,6.69K,0.00%
4/12/2020,7.7507,7.7512,7.7517,7.7503,5.86K,0.00%
3/12/2020,7.7509,7.7517,7.7525,7.7508,5.94K,-0.01%
2/12/2020,7.7516,7.7517,7.7536,7.7514,6.00K,0.00%
1/12/2020,7.7519,7.7513,7.7531,7.7511,7.14K,0.00%
30/11/2020,7.7516,7.7508,7.753,7.7505,7.18K,0.01%
27/11/2020,7.7507,7.7509,7.7515,7.7505,5.02K,0.00%
26/11/2020,7.7508,7.751,7.7513,7.7505,5.31K,0.00%
25/11/2020,7.7507,7.7516,7.7518,7.7506,6.06K,-0.01%
24/11/2020,7.7516,7.7519,7.7524,7.7511,6.20K,0.00%
23/11/2020,7.7518,7.7527,7.7533,7.7513,7.01K,-0.01%
20/11/2020,7.7522,7.7531,7.754,7.7519,6.30K,-0.01%
19/11/2020,7.7531,7.7527,7.754,7.7516,6.76K,0.01%
18/11/2020,7.7526,7.7529,7.7533,7.7516,6.96K,0.00%
17/11/2020,7.7524,7.7534,7.754,7.7519,7.52K,-0.01%
16/11/2020,7.7534,7.7538,7.7545,7.7522,5.79K,0.00%
13/11/2020,7.7536,7.7544,7.7547,7.7528,5.00K,-0.01%
12/11/2020,7.7542,7.7547,7.7551,7.7533,6.26K,0.00%
11/11/2020,7.7543,7.7544,7.7551,7.7525,5.90K,0.00%
10/11/2020,7.754,7.7523,7.7551,7.7522,4.30K,0.02%
9/11/2020,7.7523,7.7537,7.7546,7.7523,4.70K,-0.01%
6/11/2020,7.7534,7.7524,7.7548,7.7519,4.26K,0.01%
5/11/2020,7.7525,7.7559,7.7562,7.7522,4.88K,-0.04%
4/11/2020,7.7555,7.7516,7.7574,7.7514,4.73K,0.04%
3/11/2020,7.7521,7.7501,7.7534,7.7498,5.20K,0.03%
2/11/2020,7.75,7.7526,7.7556,7.7498,5.18K,-0.02%
30/10/2020,7.7516,7.7518,7.7551,7.7512,4.80K,0.00%
29/10/2020,7.7515,7.7503,7.7539,7.75,5.60K,0.02%
28/10/2020,7.75,7.7501,7.7503,7.7498,2.45K,0.00%
27/10/2020,7.75,7.7501,7.7502,7.7498,2.23K,0.00%
26/10/2020,7.75,7.7503,7.7504,7.7497,2.24K,0.00%
23/10/2020,7.75,7.7501,7.7503,7.7498,2.14K,0.00%
22/10/2020,7.75,7.7501,7.7503,7.7498,3.12K,0.00%
21/10/2020,7.75,7.7501,7.7502,7.7498,2.42K,0.00%
20/10/2020,7.75,7.7501,7.7503,7.7498,2.90K,0.00%
19/10/2020,7.75,7.7506,7.7506,7.7498,3.25K,0.01%
16/10/2020,7.7495,7.7502,7.7503,7.7497,2.05K,-0.01%
15/10/2020,7.7501,7.7502,7.7503,7.7498,1.97K,0.00%
14/10/2020,7.75,7.7501,7.7503,7.7498,2.09K,0.00%
